temp [K];visc [log10 Pa.s];referencia
1027;10,4;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1028;10,4;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1029;10,3;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1030;10,3;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1031;10,2;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1032;10,2;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1033;10,1;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1033;10,1;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1034;10;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1035;10;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1036;10;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1037;9,9;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1037;9,9;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1038;9,8;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1039;9,8;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1040;9,8;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1040;9,7;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1041;9,7;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1042;9,6;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1042;9,6;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1043;9,5;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1044;9,5;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1045;9,5;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1045;9,4;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1046;9,4;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
1047;9,4;Cassar, D.R. (2014). Nucleação, crescimento de cristais, relaxação e escoamento viscoso em vidros de diopsídio e diborato de lítio. 
